feature,importance_XGBoost,importance_LightGBM,importance_RandomForest,importance_HistGradientBoosting,mean_importance
hydrophilic_black_carbon_aerosol_mixing_ratio__last6_mean,0.020650946,0.01601789682896359,0.0,0.006918599096273647,0.010896860382271185
hydrophobic_black_carbon_aerosol_mixing_ratio__last6_mean,0.022223925,0.01163511196456766,0.0,0.009592653011470343,0.010862922548506028
hydrophobic_organic_matter_aerosol_mixing_ratio__last6_mean,0.015194775,0.024821453174383123,0.0,0.003327843716742461,0.010836017874114848
specific_humidity__max,0.01146891,0.022990382145455256,0.0026278432848360887,0.005891681812380339,0.01074470423087876
metar_temperature_c__park_wmean,0.008887188,0.0263988172032058,0.002276107859384124,0.005344092739873975,0.010726551345061992
hno3__max,0.008764688,0.01100315610470631,0.0,0.022984376998597573,0.01068805525722026
nitrogen_monoxide_mass_mixing_ratio__mean,0.033920377,0.004484804746181801,0.0,0.004309111247044435,0.010678573371532725
sulphate_aerosol_mixing_ratio__cumsum,0.025277784,0.008941755145964934,0.00029627591989628727,0.007664551365291303,0.01054509163134174
sulphate_aerosol_mixing_ratio__max,0.022408294,0.00741730657303803,3.005080043108692e-05,0.01134591256685495,0.010300390875117837
specific_humidity__park_wmean,0.03176668,0.004323471630584894,0.002357648448221793,0.0027162136063219474,0.01029100320576845
hno3__park_wmean,0.035249274,0.0037162447214070652,0.0,0.001900383683908315,0.010216475657339569
isoprene__park_wmean,0.0093445415,0.009868703437117462,0.0,0.021236691938667944,0.010112484210877909
sea_salt_aerosol_003_05_mixing_ratio__last6_mean,0.009014117,0.021086112398036542,0.0,0.009864064629098392,0.009991073406822691
temperature__last6_mean,0.022511689,0.00968738793135993,0.0025575332909321237,0.004509484800318231,0.009816523753747846
metar_hour_precipitation__park_wmean,0.0,0.00881336628320352,0.0009165930674767761,0.02846190378422007,0.009547965783725092
dust_aerosol_055_09_mixing_ratio__park_wmean,0.010821776,0.009038827456898105,0.0,0.01826236967518891,0.009530743399167126
hno3__mean,0.02939472,0.0020968654113510472,0.0,0.005100468018299566,0.009148013294834929
h2o2__park_wmean,0.016046708,0.011547481763779222,0.0,0.006974357453058105,0.008642136916639665
organic_nitrates__mean,0.0255344,0.005164976034118689,0.0,0.0035494644922292903,0.008562210310692991
hydrophobic_black_carbon_aerosol_mixing_ratio__cumsum,0.026264003,0.0023477771844097497,6.872388643040148e-05,0.004563878282177121,0.00831109547492133
sea_salt_aerosol_5_20_mixing_ratio__max,0.019141909,0.009271359791094409,0.0,0.004743666449435001,0.008289233743891565
hydrophobic_organic_matter_aerosol_mixing_ratio__max,0.015646575,0.01170936236929038,0.0,0.004912287413686936,0.008067056200435215
metar_temperature_c__last6_mean,0.005870066,0.008810549349773274,0.002998222044749443,0.0129933112189215,0.007668037182734878
metar_hour_precipitation__mean,0.00057232514,0.0,0.0009889955488927838,0.029060419642092057,0.007655435082223586
sea_salt_aerosol_003_05_mixing_ratio__max,0.006437945,0.005531627855828033,0.0,0.018213645428557714,0.007545804616006749
carbon_monoxide_mass_mixing_ratio__last6_mean,0.0041259453,0.016385638519292756,0.00036497896562415324,0.0075184615416770805,0.007098756074163871
metar_temperature_c__max,0.00910388,0.009446997952583684,0.0031293953340490372,0.006327319427210065,0.007001898244426945
dust_aerosol_055_09_mixing_ratio__mean,0.007188352,0.016035918682246162,0.0,0.004032129128130947,0.0068140999088141885
hydrophobic_black_carbon_aerosol_mixing_ratio__mean,0.021152528,0.0026681876595638695,0.0,0.0027748866029238565,0.006648900566336473
carbon_monoxide_mass_mixing_ratio__cumsum,0.0042900485,0.015349870191402399,0.0038932482511169464,0.0024411983442521935,0.006493591321357966
metar_hour_precipitation__cumsum,0.010964499,0.007080282168441118,0.0027620729147572087,0.0035110622822025904,0.006079479055143626
temperature__max,0.004261374,0.01152545734669534,0.002856603431627019,0.005343435185369552,0.005996717492900601
c3h8__cumsum,0.017283984,0.005275257099562392,8.15287451725909e-05,0.0012738616423301355,0.00597865775391979
hydrophobic_organic_matter_aerosol_mixing_ratio__cumsum,0.020736247,0.0024344907361821023,0.0006695222056356463,0.0,0.005960065060729858
sulphur_dioxide_mass_mixing_ratio__cumsum,0.008701936,0.0035572657507628733,0.0008836582415088615,0.010321306028673274,0.0058660415906917895
sea_salt_aerosol_05_5_mixing_ratio__last6_mean,0.0023244699,0.008883979509391031,0.0,0.01211659162465767,0.005831260246810317
carbon_monoxide_mass_mixing_ratio__mean,0.009030828,0.0010132371268475695,0.00010793388214413943,0.012683915336602996,0.005708978649507359
sulphate_aerosol_mixing_ratio__last6_mean,0.0066015716,0.0014306865408882548,0.0,0.014339948897993823,0.005593051752490989
hydrophilic_black_carbon_aerosol_mixing_ratio__mean,0.010414685,0.008310890034616134,0.0,0.0033453519774774964,0.005517731783690593
sea_salt_aerosol_05_5_mixing_ratio__max,0.013049213,0.0017184773247128611,0.0,0.00434494083561088,0.0047781578440081185
